year,month,port,total_txns,total_cif_usd,avg_cif_usd,median_cif_usd,unique_countries,unique_origin_ports,unique_products,total_quantity,total_ad_valorem,pct_electricidad,pct_frigorizados,pct_general,pct_granel_líquido_o_gaseoso,pct_granel_sólido,pct_fob,pct_exw,pct_cif,season,yoy_total_txns_pct,yoy_total_cif_usd_pct,monthly_rank,hist_avg_txns,hist_std_txns,hist_avg_cif,volume_z_score
2022.0,1.0,AEROP. A.M. BENITEZ,2,397244.38,198622.19,198622.19,1,2,2,71889.6155,0.0,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,summer,,,6,8.0,9.539392014169456,287482.0566666667,-0.63
2022.0,2.0,AEROP. A.M. BENITEZ,7,22755.66,3250.808571428571,2799.7,4,3,7,613.0,1234.6799999999998,0.0,0.0,100.0,0.0,0.0,28.57,0.0,0.0,summer,,,2,3.6666666666666665,3.0550504633038935,13070.900000000001,1.09
2022.0,3.0,AEROP. A.M. BENITEZ,1,8993.0,8993.0,8993.0,1,1,1,1.0,539.58,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,fall,,,8,4.75,6.238322424070967,286677.52749999997,-0.6
2022.0,4.0,AEROP. A.M. BENITEZ,1,1780.46,1780.46,1780.46,1,1,1,227.0,106.83,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,fall,,,8,2.0,1.7320508075688772,358151.57666666666,-0.58
2022.0,6.0,AEROP. A.M. BENITEZ,3,4363.39,1454.4633333333334,588.46,1,1,3,352.0,261.8,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,winter,,,4,12.25,14.660036380127666,334961.335,-0.63
2022.0,7.0,AEROP. A.M. BENITEZ,1,116460.0,116460.0,116460.0,1,1,1,379.2308,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,winter,,,8,1.0,0.0,170321.055,
2022.0,9.0,AEROP. A.M. BENITEZ,11,18474.510000000002,1679.5009090909093,655.41,2,1,11,422.0892,476.71,0.0,0.0,100.0,0.0,0.0,9.09,0.0,0.0,spring,,,1,6.666666666666667,4.041451884327381,130612.56999999999,1.07
2022.0,10.0,AEROP. A.M. BENITEZ,3,19218.21,6406.07,4109.19,2,3,3,117.1746,257.38,0.0,0.0,100.0,0.0,0.0,0.0,33.33,0.0,spring,,,4,2.6666666666666665,1.5275252316519465,29560.736666666664,0.22
2022.0,11.0,AEROP. A.M. BENITEZ,4,78329.75,19582.4375,16440.63,3,3,4,2198.4,0.0,0.0,0.0,100.0,0.0,0.0,50.0,0.0,25.0,spring,,,3,4.333333333333333,2.5166114784235836,554054.87,-0.13
2022.0,12.0,AEROP. A.M. BENITEZ,2,80215.08,40107.54,40107.54,2,1,2,8399.223100000001,1499.18,0.0,0.0,100.0,0.0,0.0,50.0,0.0,0.0,summer,,,6,3.6666666666666665,2.0816659994661326,581313.18,-0.8
