port,PRODUCT_L1,PRODUCT_L2,total_txns,total_cif_usd,total_quantity,pct_of_port_txns,pct_of_port_cif,rank_by_txns,rank_by_cif
AEROP. A.M. BENITEZ,Resto No combustibles,Resto No combustibles,93,3237516.1100000003,146321.0496,52.25,36.21,1,1
AEROP. A.M. BENITEZ,"Maquinarias, aparatos y sus partes","Resto Maquinarias, aparatos y sus partes ",37,1728639.49,114008.4841,20.79,19.33,2,2
AEROP. A.M. BENITEZ,"Prendas de vestir y accesorios, y calzados",Prendas de vestir y accesorios,10,65293.43,1525.9168000000002,5.62,0.73,3,11
AEROP. A.M. BENITEZ,"Maquinarias, aparatos y sus partes",Artículos de grifería y sus partes,7,27213.11,318.4289,3.93,0.3,4,14
AEROP. A.M. BENITEZ,Alimentos,Resto Alimentos,5,66189.56,2806.5693,2.81,0.74,5,10
AEROP. A.M. BENITEZ,"Maquinarias, aparatos y sus partes","Centrífugas y aparatos para filtrar o depurar líquidos o gases, y sus partes",4,1635393.44,8700.1,2.25,18.29,6,3
AEROP. A.M. BENITEZ,Medios de transporte y sus partes,Resto Medios de transporte y sus partes,4,1458063.87,14.6923,2.25,16.31,6,4
AEROP. A.M. BENITEZ,"Maquinarias, aparatos y sus partes",Motores y generadores eléctricos,3,5495.43,1.0,1.69,0.06,8,17
AEROP. A.M. BENITEZ,"Prendas de vestir y accesorios, y calzados",Calzados ,3,71625.45,3332.0,1.69,0.8,8,9
AEROP. A.M. BENITEZ,Forestales y sus derivados,Madera y sus manufacturas,2,34433.31,8793.0,1.12,0.39,10,13
AEROP. A.M. BENITEZ,"Maquinarias, aparatos y sus partes","Bombas y elevadores de líquidos, y sus partes",2,7927.34,2.0,1.12,0.09,10,16
AEROP. A.M. BENITEZ,Alimentos,Conservas y preparaciones de pescados y mariscos,1,115268.02,30720.0,0.56,1.29,12,7
AEROP. A.M. BENITEZ,Alimentos,Leche y otros productos lácteos,1,83762.64,15064.61,0.56,0.94,12,8
AEROP. A.M. BENITEZ,Medios de transporte y sus partes,"Chasis, carrocerías, partes y accesorios de vehículos automóviles",1,2302.27,5.53,0.56,0.03,12,18
AEROP. A.M. BENITEZ,Medios de transporte y sus partes,Vehículos automóviles para el transporte de personas,1,38885.13,85.0,0.56,0.43,12,12
AEROP. A.M. BENITEZ,Otros productos relevantes,Líquidos alcohólicos,1,224182.11,33111.0,0.56,2.51,12,5
AEROP. A.M. BENITEZ,Otros productos relevantes,Medicamentos,1,116460.0,379.2308,0.56,1.3,12,6
AEROP. A.M. BENITEZ,Otros productos relevantes,Polietileno,1,20257.6,0.0,0.56,0.23,12,15
AEROP. A.M. BENITEZ,Tecnología,Computadores y sus partes,1,1747.56,1.0,0.56,0.02,12,19
AEROP. CERRO MORENO,"Maquinarias, aparatos y sus partes","Resto Maquinarias, aparatos y sus partes ",62,1338643.45,4959.2706,43.36,65.32,1,1
AEROP. CERRO MORENO,Resto No combustibles,Resto No combustibles,48,97067.54,1108.8615,33.57,4.74,2,5
AEROP. CERRO MORENO,Medios de transporte y sus partes,"Chasis, carrocerías, partes y accesorios de vehículos automóviles",10,37017.479999999996,483.6948,6.99,1.81,3,7
AEROP. CERRO MORENO,"Maquinarias, aparatos y sus partes",Artículos de grifería y sus partes,9,183541.16999999998,324.6999,6.29,8.96,4,3
AEROP. CERRO MORENO,"Maquinarias, aparatos y sus partes","Bombas y elevadores de líquidos, y sus partes",7,130303.51,45.1076,4.9,6.36,5,4
