port,years,total_txns,total_cif,avg_monthly_txns,avg_countries,market_share_pct,avg_pct_fob,avg_pct_exw,avg_pct_cif,peak_month
SAN ANTONIO,5,2162242,127094382720.14,44127.38775510204,97.6938775510204,68.34,35.8,14.4,14.85,8.0
VALPARAÍSO,5,779971,35558342554.08,15917.775510204081,81.81632653061224,24.65,36.69,12.12,14.5,8.0
PUERTO ANGAMOS,5,55592,15577879106.7,1134.530612244898,31.142857142857142,1.76,21.43,10.93,8.72,6.0
LIRQUÉN,5,50390,5883556473.91,1028.3673469387754,28.53061224489796,1.59,54.87,3.32,23.89,2.0
CORONEL,5,40575,6067274981.68,828.0612244897959,42.42857142857143,1.28,36.57,13.04,23.05,2.0
SAN VICENTE,5,32368,7702782283.59,660.5714285714286,40.775510204081634,1.02,33.59,10.07,24.8,2.0
ANTOFAGASTA,5,15229,4660435364.25,310.7959183673469,25.448979591836736,0.48,20.47,11.3,24.77,12.0
IQUIQUE,5,10523,3607323737.54,214.75510204081633,18.612244897959183,0.33,48.77,3.74,23.92,6.0
QUINTERO,5,3577,31702098883.09,73.0,6.448979591836735,0.11,8.3,0.0,13.05,4.0
MEJILLONES,5,3394,18608859564.36,69.26530612244898,12.0,0.11,4.94,0.0,28.97,4.0
ARICA,5,2972,687703821.59,60.6530612244898,16.775510204081634,0.09,32.94,4.01,32.67,12.0
PUERTO MONTT,5,1188,2861178093.51,24.244897959183675,7.040816326530612,0.04,11.68,0.54,26.61,9.0
TALCAHUANO,5,1182,13904320093.42,24.122448979591837,6.428571428571429,0.04,28.38,0.37,6.35,1.0
COQUIMBO,5,798,960452199.89,17.733333333333334,5.2444444444444445,0.03,17.31,4.6,16.75,8.0
VENTANAS,5,736,2285634196.6,15.020408163265307,3.938775510204082,0.02,30.01,0.0,12.34,12.0
PENCO,5,626,922500843.3,12.775510204081632,4.387755102040816,0.02,1.86,0.0,16.81,7.0
PUNTA ARENAS,5,562,74702956.86,11.708333333333334,3.75,0.02,16.38,5.03,23.18,3.0
CALDERA,5,465,2566020069.56,9.489795918367347,1.653061224489796,0.01,3.43,0.45,0.17,11.0
CHAÑARAL / BARQUITO,5,319,545423543.02,6.510204081632653,2.816326530612245,0.01,0.52,0.0,17.57,2.0
HUASCO / GUACOLDA,5,238,1251598349.21,4.857142857142857,2.020408163265306,0.01,57.59,2.16,3.82,10.0
CALBUCO,5,212,1195736580.32,4.51063829787234,2.021276595744681,0.01,7.04,0.0,24.37,2.0
OTROS PUERTOS CHILENOS,5,208,122976676.4,6.5,1.375,0.01,22.14,5.21,38.02,6.0
GUAYACÁN,5,203,361502997.06,4.413043478260869,1.1521739130434783,0.01,3.77,0.72,0.0,11.0
AEROP. A.M. BENITEZ,5,178,8940655.87,4.944444444444445,1.9722222222222223,0.01,15.3,11.69,10.32,6.0
AEROP. CERRO MORENO,5,143,2049213.27,6.217391304347826,1.173913043478261,0.0,34.01,24.37,0.0,7.0
CHACABUCO / PUERTO AYSÉN,4,51,14957265.160000002,3.1875,1.1875,0.0,12.5,0.0,68.75,8.0
TOCOPILLA,2,50,299769768.07,2.7777777777777777,1.5555555555555556,0.0,53.7,0.0,6.48,7.0
PINO HACHADO (LIUCURA),4,49,1185152.41,4.454545454545454,1.2727272727272727,0.0,0.0,0.0,0.0,9.0
ZONA FRANCA IQUIQUE,2,24,39436.630000000005,12.0,1.0,0.0,0.0,0.0,0.0,1.0
PUERTO WILLIAMS,4,20,5403232.419999999,1.8181818181818181,1.0909090909090908,0.0,0.0,0.0,0.0,5.0
CHACALLUTA,4,15,293740.1,3.75,1.25,0.0,31.25,25.0,43.75,3.0
SAN FRANCISCO,3,13,468919.27999999997,2.6,1.0,0.0,80.0,0.0,20.0,1.0
AEROPUERTO CARRIEL SUR 945,3,12,552226.1599999999,2.4,1.2,0.0,73.33,0.0,26.67,1.0
RANCHO DE NAVES Y AERONAVES DE TRANSPORTE INTERNACIONAL,3,10,383886.32,1.6666666666666667,1.1666666666666667,0.0,16.67,0.0,58.33,10.0
PASO JAMA,3,9,895380.92,1.0,1.0,0.0,0.0,22.22,0.0,1.0
PUERTO ANDINO,2,3,4955620.600000001,1.5,1.0,0.0,75.0,0.0,0.0,11.0
MAHUIL MALAL,2,3,39191.24999999999,1.5,1.0,0.0,50.0,0.0,0.0,3.0
CHUNGARÁ,2,3,343300.82,1.0,1.0,0.0,0.0,0.0,0.0,5.0
OLLAGUE,1,2,158173.56,1.0,1.0,0.0,0.0,0.0,0.0,4.0
COLCHANE,2,2,664500.0,1.0,1.0,0.0,0.0,0.0,100.0,2.0
QUELLÓN,1,1,3080883.44,1.0,1.0,0.0,0.0,0.0,100.0,3.0
CORRAL,1,1,478.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0
CABO NEGRO,1,1,32723.33,1.0,1.0,0.0,0.0,0.0,0.0,7.0
LOS LIBERTADORES,1,1,87269.83,1.0,1.0,0.0,0.0,0.0,100.0,9.0
